SH001,2025-10-15,Whole Genome Sequencing (WGS) Kit,erandi@wso2.com,IN_TRANSIT,CUST001
SH002,2025-10-15,Whole Exome Sequencing (WES) Kit,shashikab@wso2.com,IN_TRANSIT,CUST002
SH003,2025-10-15,GeneAware Carrier Screening Kit,cust003@example.com,IN_TRANSIT,CUST003
SH004,2025-10-15,PreSeek Screening Kit,cust004@example.com,IN_TRANSIT,CUST004
SH005,2025-10-15,Oncology Panel Sequencing Kit,cust005@example.com,IN_TRANSIT,CUST005
SH006,2025-10-15,Prenatal NIPT Screening Kit,cust006@example.com,IN_TRANSIT,CUST006
SH007,2025-10-15,Mitochondrial DNA Analysis Kit,cust007@example.com,IN_TRANSIT,CUST007
SH008,2025-10-15,CMA Array Analysis Kit,cust008@example.com,IN_TRANSIT,CUST008
SH009,2025-10-15,Global MAPS Biochemical Panel Kit,cust009@example.com,IN_TRANSIT,CUST009
SH010,2025-10-15,Tumor Profiling Sequencing Kit,cust010@example.com,IN_TRANSIT,CUST010
